53131478,Vega,Marcos,30/11/1956,M,05/07/2008,ADULTO,16/05/2025,I,
41230987,Fernández,Lucía,12/03/1988,F,10/01/2015,ADULTO,20/06/2026,A,
38765432,Gómez,Ramiro,25/07/1975,M,03/09/2001,VITALICIO,15/12/2024,I,15/12/2024
29456781,Rodríguez,Elena,08/11/1962,F,22/04/1995,JUBILADO,01/06/2025,A,
50123456,Pérez,Tomás,17/02/2015,M,05/05/2023,MENOR,,A,
44987654,López,Camila,30/09/1995,O,14/08/2018,CADETE,10/03/2026,I,10/03/2026
33221100,Martínez,Diego,03/01/1970,M,19/07/1999,HONORARIO,,A,
48765123,Sánchez,Valentina,22/06/2012,F,01/02/2022,MENOR,,I,28/01/2026
27654098,Díaz,Jorge,14/04/1958,M,09/09/1990,VITALICIO,05/05/2024,A,
39876210,Torres,Sofía,19/10/1993,F,11/11/2016,ADULTO,,I,
21098765,Ramírez,Héctor,02/12/1949,M,07/07/1985,JUBILADO,30/06/2025,A,
46543219,Flores,Julieta,28/05/2009,O,16/06/2021,CADETE,,A,
35678901,Benítez,Nicolás,09/08/1980,M,25/03/2010,ADULTO,12/12/2025,I,
52341098,Acosta,Martina,05/04/2016,F,20/01/2024,MENOR,,A,
24109876,Herrera,Pablo,11/02/1965,M,04/06/1992,HONORARIO,,I,04/06/2026
43876502,Silva,Antonella,27/07/1998,F,08/08/2019,CADETE,22/02/2026,A,
19876543,Ibáñez,Raúl,01/01/1945,O,15/03/1980,VITALICIO,,I,
41765098,Molina,Florencia,13/09/1991,F,29/10/2014,ADULTO,18/04/2026,A,
37890234,Castro,Ezequiel,06/06/1978,M,02/02/2005,ADULTO,,I,
49321087,Suárez,Milagros,24/11/2011,F,10/10/2022,MENOR,,A,
28456712,Vargas,Sergio,15/05/1955,M,21/09/1988,JUBILADO,03/01/2025,I,03/01/2025
